id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
355,Rico Lewis,DEF,Man City,19,44,False,Spurs,27,2024-25,0.0,0.0,11.333333333333334,0.3333333333333333,5.7,0.6666666666666666,0.0,1.6333333333333335,8.333333333333334,60.0,0.0,0,0,0.0,0.0,510201.0,2.3333333333333335,2.3333333333333335,-43325.333333333336,3303.6666666666665,46629.0,0.0,1.6666666666666667,2.3333333333333335,1.0
356,Matheus Luiz Nunes,MID,Man City,19,49,False,Spurs,27,2024-25,0.0,0.0,5.333333333333333,0.0,2.966666666666667,1.6666666666666667,0.0,0.6,2.466666666666667,31.0,0.0,0,0,0.0,0.0,12533.666666666666,0.6666666666666666,1.0,292.3333333333333,1250.6666666666667,958.3333333333334,0.0,1.6666666666666667,2.3333333333333335,1.0
357,James McAtee,MID,Man City,19,46,False,Spurs,27,2024-25,0.0,0.0,10.0,0.0,1.7,0.6666666666666666,0.3333333333333333,2.6333333333333333,13.066666666666665,18.666666666666668,0.0,0,0,0.0,0.0,11390.666666666666,11.666666666666666,2.6666666666666665,214.33333333333334,1508.6666666666667,1294.3333333333333,0.0,1.6666666666666667,2.3333333333333335,1.0
358,Stefan Ortega Moreno,GKP,Man City,19,52,False,Spurs,27,2024-25,0.0,0.0,-3.0,0.0,0.0,1.6666666666666667,0.0,0.43333333333333335,4.333333333333333,30.0,0.0,0,0,0.0,0.6666666666666666,66552.0,0.0,0.0,-2223.3333333333335,374.6666666666667,2598.0,0.0,1.6666666666666667,2.3333333333333335,1.0
360,Rodrigo 'Rodri' Hernandez,MID,Man City,19,62,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,87636.66666666667,0.0,0.0,-413.3333333333333,68.66666666666667,482.0,0.0,1.6666666666666667,2.3333333333333335,1.0
361,Rúben Gato Alves Dias,DEF,Man City,19,54,False,Spurs,27,2024-25,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0,0,0.0,0.0,245566.0,0.0,0.3333333333333333,-2109.3333333333335,1616.6666666666667,3726.0,0.0,1.6666666666666667,2.3333333333333335,1.0
362,John Stones,DEF,Man City,19,53,False,Spurs,27,2024-25,0.0,0.3333333333333333,8.333333333333334,0.3333333333333333,1.9000000000000001,1.6666666666666667,0.0,1.6333333333333335,14.4,60.0,0.0,0,0,0.0,0.0,125149.66666666667,0.0,2.3333333333333335,797.6666666666666,2406.6666666666665,1609.0,0.0,1.6666666666666667,2.3333333333333335,1.0
363,Kyle Walker,DEF,Man City,19,51,False,Spurs,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313213.6666666667,0.0,0.0,-9157.333333333334,84.66666666666667,9242.0,0.0,1.6666666666666667,2.3333333333333335,1.0
571,Sávio 'Savinho' Moreira de Oliveira,MID,Man City,19,62,False,Spurs,27,2024-25,0.6666666666666666,0.0,22.666666666666668,0.3333333333333333,30.399999999999995,2.3333333333333335,0.0,7.933333333333334,21.466666666666665,90.0,0.0,0,0,0.0,0.0,279111.0,27.333333333333332,4.333333333333333,-63947.0,19690.0,83637.0,0.0,1.6666666666666667,2.3333333333333335,1.0
607,Nico O'Reilly,MID,Man City,19,49,False,Spurs,27,2024-25,0.0,0.0,1.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,1.2,1.0,0.0,0,0,0.0,0.0,1894.3333333333333,0.0,0.3333333333333333,-8.333333333333334,40.0,48.333333333333336,0.0,1.6666666666666667,2.3333333333333335,1.0
